name,price,specification,description
Moss Green Cotton Fitted Shirt,As low asTk 846.51,"['Cotton', 'Semi Spread Collar', 'Chest Pocket', 'Full Sleeve', 'Clean With Soft Dry Brush And Keep It In a Dry Place']",Moss green cotton fitted shirt. Features chest pocket.
Green/Blue-Grey Wax Dyed Cotton Shirt,"As low asTk 1,325.58","['Cotton', 'Batik Print', 'Semi Spread Collar', 'Chest Pocket', 'Half Sleeve', 'Hand Wash With Mild Detergent In Cold Water']",Green and blue-grey wax dyed cotton shirt. Features chest pocket and standard placket.
Burnt Russet Printed Cotton Shirt,As low asTk 832.56,"['Cotton', 'Screen Print', 'Semi Spread Collar', 'Chest Pocket', 'Half Sleeve', 'Hand Wash With Mild Detergent In Cold Water']",Burnt russet cotton shirt with blue prints. Features chest pocket.
Teal Blue Embroidered Endi Silk Panjabi,"As low asTk 10,195.35","['Endi Silk', 'Exclusive Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Dry Clean']",Teal blue endi silk panjabi with plum embroidery. Features in-seam side pockets.
Black Embroidered Viscose Panjabi,"As low asTk 3,255.81","['Viscose', 'Machine Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Black textured viscose panjabi with beige embroidery. Features in-seam side pockets.
Black/Coffee Printed and Erri Embroidered Viscose-Cotton Panjabi,"As low asTk 1,748.84","['Viscott (Viscose & Cotton)', 'Erri Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Black and coffee printed textured viscose-cotton panjabi with erri embroidery detailing.  Features in-seam side pockets.
Bottle Green Embroidered Cotton Slim Fit Panjabi,"As low asTk 1,841.86","['Cotton', 'Erri Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Bottle green textured cotton slim fit panjabi with red and green erri embroidery. Features in-seam side pockets.
Patel Blue Embroidered Viscose-Cotton Panjabi,"As low asTk 1,972.09","['Viscott (Viscose & Cotton)', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Pastel blue textured viscose-cotton panjabi with white embroidery. Features in-seam side pockets.
Red/Blue Check Viscose-Cotton Panjabi,"As low asTk 2,465.12","['Viscott (Viscose & Cotton)', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Red and blue check viscose-cotton panjabi. Features in-seam side pockets.
Olive Embroidered Endi Silk Panjabi,"As low asTk 8,172.09","['Endi Silk', 'Exclusive Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Dry Clean']",Olive printed endi silk panjabi with embroidery. Features in-seam side pockets.
Peach Embroidered Joysree Silk Panjabi,"As low asTk 3,576.74","['Joysree Silk', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Dry Clean']",Peach joysree silk panjabi with embroidery. Features in-seam side pockets.
Red Embroidered Cotton Slim Fit Panjabi,"As low asTk 1,855.81","['Cotton', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Red cotton slim fit panjabi with maroon embroidery. Features in-seam side pockets.
Copper Embroidered Viscose-Cotton Panjabi,"As low asTk 1,930.23","['Viscott (Viscose & Cotton)', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Copper and brown textured viscose-cotton panjabi with dust pink embroidery. Features in-seam side pockets.
Dark Green Embroidered Cotton Panjabi,"As low asTk 4,348.84","['Cotton', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Dark green cotton panjabi with brown embroidery. Features in-seam side pockets.
Olive Viscose-Cotton Panjabi,"As low asTk 1,906.98","['Viscott (Viscose & Cotton)', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Olive viscose-cotton panjabi. Features in-seam side pockets.
Dark Beige Embroidered Cotton Panjabi,"As low asTk 2,706.98","['Cotton', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Dark beige textured cotton panjabi with light beige embroidery. Features in-seam side pockets.
Multicolour Wax Dyed and Brush Painted  Addi Cotton Panjabi,"As low asTk 2,586.05","['Addi Cotton', 'Batik Print', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Multicolour wax dyed addi cotton panjabi with brush painting details. Features in-seam side pockets.
Beige/Grey Printed and Embroidered Endi Silk Panjabi,"As low asTk 7,134.88","['Endi Silk', 'Erri Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Dry Clean']","Beige and grey printed endi silk panjabi with brown, white and grey embroidery. Features in-seam side pockets."
Blue Tie-Dyed and Embroidered Endi Silk Panjabi,"As low asTk 4,818.60","['Endi Silk', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Dry Clean']",White and blue tie-dyed endi silk panjabi with embroidery. Features in-seam side pockets.
